Name,Agency product number,Active substance,International non-proprietary name (INN) or common name,Therapeutic area (MeSH),Anatomical therapeutic chemical (ATC) code,Generic,Marketing-authorisation holder,Revision,Date of issue of marketing authorisation valid throughout the European Union,Contact address,Additional monitoring,Orphan,Conditional approval,Biosimilar,Marketing-autorisation applicant,Date of opinion,Exceptional circumstances,Date of refusal of marketing authorisation,Countries
Trimbow,EMEA/H/C/004257,"Beclometasone dipropionate
formoterol fumarate dihydrate
Glycopyrronium bromide",beclometasone / formoterol / glycopyrronium bromide,"Pulmonary Disease, Chronic Obstructive",R03,,Chiesi Farmaceutici S.p.A.,0,16/07/2017,"Via Palermo 26/A
43122 Parma
Italy",,,,,,,,,Italy
Orencia,EMEA/H/C/000701,Abatacept,abatacept,,L04AA24,,,25,20/05/2007,,,,,,,,,,
DepoCyte,EMEA/H/C/000317,cytarabine,cytarabine,Meningeal Neoplasms,L01BC01,,Pacira Limited,15,10/07/2001,"3 Glory Park Avenue
Wooburn Green
High Wycombe
Buckinghamshire
HP10 0DF
United Kingdom",,,,,,,,,United Kingdom
Enurev Breezhaler,EMEA/H/C/002691,Glycopyrronium bromide,glycopyrronium bromide,"Pulmonary Disease, Chronic Obstructive",R03BB06,,Novartis Europharm Ltd,6,27/09/2012,"Novartis Europharm Limited
Elm Park
Merrion Road
Dublin 4
Ireland",,,,,,,,,Ireland
Clopidogrel BGR (previously Zylagren),EMEA/H/C/001138,clopidogrel hydrogen sulphate,clopidogrel,"Peripheral Vascular Diseases
Stroke
Myocardial Infarction",B01AC03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Biogaran,12,20/09/2009,"15, boulevard Charles de Gaulle
92707 Colombes Cedex
France",,,,,,,,,France
Refixia,EMEA/H/C/004178,Nonacog beta pegol,nonacog beta pegol,Hemophilia B,B02BD04,,Novo Nordisk A/S,0,01/06/2017,"Novo Alle
2880 Bagsvaerd
Denmark","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Denmark
Veltassa,EMEA/H/C/004180,patiromer sorbitex calcium,patiromer,Hyperkalemia,V03AE09,,Vifor Fresenius Medical Care Renal Pharma France,0,19/07/2017,"100-101 Terrasse Boieldieu
Tour Franklin La Defense 8
Paris La Defense
Cedex 92042
Paris
France","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,France
Xaluprine (previously Mercaptopurine Nova Laboratories),EMEA/H/C/002022,6-mercaptopurine monohydrate,mercaptopurine,"Leukemia, Lymphoid",L01BB02,,Nova Laboratories Ltd,7,08/03/2012,"Martin House
Gloucester Crescent
Wigston
Leicester LE18 4YL
United Kingdom",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,United Kingdom
NovoThirteen,EMEA/H/C/002284,catridecacog,catridecacog,"Blood Coagulation Disorders, Inherited",B02BD11,,Novo Nordisk A/S,5,02/09/2012,"Novo Allé
DK-2880 Bagsvaerd
Denmark",,,,,,,,,Denmark
Evra,EMEA/H/C/000410,"norelgestromin
ethinyl estradiol",norelgestromin / ethinyl estradiol,Contraception,G03AA13,,Janssen-Cilag International NV,19,21/08/2002,"Turnhoutseweg, 30
B-2340 Beerse
Belgium",,,,,,,,,Belgium
Oxervate,EMEA/H/C/004209,recombinant human Nerve Growth factor (rhNGF),cenegermin,Keratitis,S01,,Dompe farmaceutici s.p.a.,0,05/07/2017,"20122 Milano
Italy","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Italy
Kiovig,EMEA/H/C/000628,human normal immunoglobulin (IVIg),human normal immunoglobulin,"Purpura, Thrombocytopenic, Idiopathic
Bone Marrow Transplantation
Immunologic Deficiency Syndromes
Guillain-Barre Syndrome
Mucocutaneous Lymph Node Syndrome",J06BA02,,Baxter AG,19,18/01/2006,"Industriestrasse 67
A-1221 Vienna
Austria",,,,,,,,,Austria
Erbitux,EMEA/H/C/000558,cetuximab,cetuximab,"Head and Neck Neoplasms
Colorectal Neoplasms",L01XC06,,Merck KGaA,25,28/06/2004,"64271 Darmstadt
Germany",,,,,,,,,Germany
Clopidogrel Krka d.d. (previously Zopya),EMEA/H/C/001137,clopidogrel hydrochloride,clopidogrel,,B01AC03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",,7,20/09/2009,,,,,,,,,,
Memantine Merz,EMEA/H/C/002711,memantine hydrochloride,memantine hydrochloride,Alzheimer Disease,N06DX01,,Merz Pharmaceuticals GmbH  ,5,21/11/2012,"Merz Pharmaceuticals GmbH
Eckenheimer Landstr. 100
D-60318 Frankfurt
Germany",,,,,,,,,Germany
Zalviso,EMEA/H/C/002784,sufentanil,sufentanil,"Pain, Postoperative",N01AH03,,Grünenthal GmbH,2,17/09/2015,"Zieglerstr. 6
D-52078Aachen
Germany",,,,,,,,,Germany
Onivyde,EMEA/H/C/004125,irinotecan hydrochloride trihydrate,irinotecan hydrochloride trihydrate,Pancreatic Neoplasms,L01XX19,,Baxalta Innovations GmbH,1,13/10/2016,"Industriestrasse 67
A-1221Vienna
AUSTRIA",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,Austria
Removab,EMEA/H/C/000972,Catumaxomab,catumaxomab,"Ascites
Cancer",L01XC09,,Neovii Biotech GmbH,5,19/04/2009,"Am Haag 6-7
82166 Graefelfing
Germany",,,,,,,,,Germany
Tadalafil Lilly,EMEA/H/C/004666,tadalafil,tadalafil,Erectile Dysfunction,G04BE08,,Eli Lilly Nederland B.V.,1,22/03/2017,"Papendorpseweg 83
3528 BJ Utrecht
Netherlands",,,,,,,,,The Netherlands
Obizur,EMEA/H/C/002792,susoctocog alfa,susoctocog alfa,Hemophilia A,B02,,Baxalta Innovations GmbH,3,11/11/2015,"Industriestrasse 67
A-1221 Vienna
Austria","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,"This medicine was authorised under exceptional circumstances, because the applicant was unable to provide comprehensive data on the efficacy and safety of the medicine under normal conditions of use. This can happen because the condition to be treated is rare or because collection of full information is not possible or is unethical. For more information, see Pre-authorisation guidance.",,Austria
Aflunov,EMEA/H/C/002094,influenza virus surface antigens (haemagglutinin and neuraminidase) of strain: A/turkey/Turkey/1/05 (H5N1)-like strain (NIBRG-23),"prepandemic influenza vaccine (H5N1) (surface antigen, inactivated, adjuvanted)","Influenza, Human
Immunization
Disease Outbreaks",J07BB02,,Seqirus S.r.l. ,8,28/11/2010,"Seqirus S.r.l.
Via Fiorentina 1
I-53100
Siena
Italy",,,,,,,,,Italy
Talmanco (previously Tadalafil Generics),EMEA/H/C/004297,tadalafil,tadalafil,"Hypertension, Pulmonary",G04BE08,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Mylan S.A.S,2,09/01/2017,"117 Allee des Parcs
69800
Saint-Priest
France",,,,,,,,,France
Pandemic influenza vaccine H5N1 AstraZeneca (previously Pandemic influenza vaccine H5N1 Medimmune),EMEA/H/C/003963,reassortant influenza virus (live attenuated) of the following strain: A/Vietnam/1203/2004 (H5N1) strain,"pandemic influenza vaccine (H5N1) (live attenuated, nasal)","Influenza, Human",J07BB03,,AstraZeneca AB,2,19/05/2016,"5E-151 85 Sodertalje
Sweden","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,"This medicine received a conditional marketing authorisation. This was granted in the interest of public health because the medicine addresses an unmet medical need and the benefit of immediate availability outweighs the risk from less comprehensive data than normally required. For more information, see Conditional marketing authorisation.",,,,,,Sweden
Holoclar,EMEA/H/C/002450,ex vivo expanded autologous human corneal epithelial cells containing stem cells,ex vivo expanded autologous human corneal epithelial cells containing stem cells,"Stem Cell Transplantation
Corneal Diseases",S01XA19,,Chiesi Farmaceutici S.p.A.,3,16/02/2015,"Via Palermo 26/A
43122 Parma
Italy","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ","This medicine received a conditional marketing authorisation. This was granted in the interest of public health because the medicine addresses an unmet medical need and the benefit of immediate availability outweighs the risk from less comprehensive data than normally required. For more information, see Conditional marketing authorisation.",,,,,,Italy
Noxafil,EMEA/H/C/000610,posaconazole,posaconazole,"Candidiasis
Mycoses
Coccidioidomycosis
Aspergillosis",J02AC04,,Merck Sharp Dohme Ltd,22,25/10/2005,"Hertford Road
Hoddesdon
Hertfordshire
EN11 9BU
United Kingdom",,,,,,,,,United Kingdom
Zurampic,EMEA/H/C/003932,lesinurad,lesinurad,Hyperuricemia,M04AB05,,Grünenthal GmbH,3,17/02/2016,"Zieglerstr. 6
D-52078Aachen
Germany","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Germany
Avonex,EMEA/H/C/000102,interferon beta-1a,interferon beta-1a,Multiple Sclerosis,L03AB07,,Biogen Idec Ltd,28,12/03/1997,"Innovation House
70 Norden Road
Maidenhead
Berkshire SL6 4AY
United Kingdom",,,,,,,,,United Kingdom
Yargesa,EMEA/H/C/004016,miglustat,miglustat,Gaucher Disease,A16AX06,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",JensonR+ Limited,1,22/03/2017,"Fishleigh Court
Fishleigh Road
Barnstaple EX31 3UD
United Kingdom",,,,,,,,,United Kingdom
Sabervel,EMEA/H/C/002510,irbesartan,irbesartan,Hypertension,C09CA04,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Pharmathen S.A.,2,13/04/2012,"6, Dervenakion
EL-15351 Pallini Attiki
Greece",,,,,,,,,Greece
Rekovelle,EMEA/H/C/003994,follitropin delta,follitropin delta,Anovulation,G03GA,,Ferring Pharmaceuticals A/S,1,11/12/2016,"Kay Fiskers Plads 11
2300 Copenhagen
Denmark","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Denmark
Zoledronic acid medac,EMEA/H/C/002359,zoledronic acid monohydrate,zoledronic acid,"Fractures, Bone
Cancer",M05BA08,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",medac Gesellschaft für klinische Spezialpräparate mbH,10,02/08/2012,"Fehlandtstraße 3
D-20354 Hamburg
Germany",,,,,,,,,Germany
Optaflu,EMEA/H/C/000758,"influenza virus surface antigens (haemagglutinin and neuraminidase), inactivated, of the following strains:A/California/7/2009 (H1N1)pdm09 - like strain(A/Brisbane/10/2010, wild type)A/Switzerland/9715293/2013 (H3N2) - like strain(A/South Australia/55/2014, wild type)B/Phuket/3073/2013–like strain(B/Utah/9/2014, wild type)","influenza vaccine (surface antigen, inactivated, prepared in cell cultures)","Influenza, Human
Immunization",J07BB02,,Seqirus GmbH,16,31/05/2007,"Emil-von-Behring Strasse 76
35041 Marburg
Germany",,,,,,,,,Germany
Emtricitabine/Tenofovir disoproxil Mylan,EMEA/H/C/004050,"emtricitabine
tenofovir disoproxil maleate",emtricitabine / tenofovir disoproxil,HIV Infections,J05AR03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Mylan S.A.S,1,15/12/2016,"117 Allee des Parcs
69800
Saint-Priest
France",,,,,,,,,France
ProQuad,EMEA/H/C/000622,"virus, live attenuated, measles, virus, live attenuated, mumps, virus, live attenuated, rubella, virus, live attenuated, varicella","measles, mumps, rubella and varicella vaccine (live)","Chickenpox
Rubella
Measles
Mumps
Immunization",J07BD54,,MSD VACCINS,23,05/04/2006,"162 avenue Jean Jaurès
69007 Lyon
France",,,,,,,,,France
Capecitabine Medac,EMEA/H/C/002568,capecitabine,capecitabine,Colorectal Neoplasms,L01BC06,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",medac Gesellschaft für klinische Spezialpräparate mbH,7,18/11/2012,"Fehlandtstraße 3
D-20354 Hamburg
Germany",,,,,,,,,Germany
Pemetrexed Lilly,EMEA/H/C/004114,pemetrexed,pemetrexed,"Carcinoma, Non-Small-Cell Lung
Mesothelioma",L01BA04,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Eli Lilly Netherlands,3,14/09/2015,"Grootslag 1-5
PO Box 379
NL-3991 RA Houten
The Netherlands",,,,,,,,,The Netherlands
Ganfort,EMEA/H/C/000668,"bimatoprost
timolol",bimatoprost / timolol,"Glaucoma, Open-Angle
Ocular Hypertension",S01ED51,,Allergan Pharmaceuticals Ireland,15,18/05/2006,"Castlebar Road
Westport, Co Mayo
Ireland",,,,,,,,,Ireland
MicardisPlus,EMEA/H/C/000413,"telmisartan
hydrochlorothiazide",telmisartan / hydrochlorothiazide,Hypertension,C09DA07,,Boehringer Ingelheim International GmbH,26,18/04/2002,"Bingerstr. 173
55216 Ingelheim am Rheim
Germany",,,,,,,,,Germany
Duloxetine Zentiva,EMEA/H/C/003935,duloxetine,duloxetine,"Anxiety Disorders
Depressive Disorder, Major
Neuralgia
Diabetes Mellitus",N06AX21,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.","Zentiva, k.s.",2,19/08/2015,"U kabelovny
130 Dolni Mecholupy
102 37 Praha 10
Czech Republic",,,,,,,,,Czech Republic
Zoledronic acid Teva Pharma,EMEA/H/C/002437,zoledronic acid,zoledronic acid,"Osteoporosis
Osteitis Deformans
Osteoporosis, Postmenopausal",M05BA08,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Teva B.V.,10,15/08/2012,"Swensweg 5
2031GA Haarlem
The Netherlands",,,,,,,,,The Netherlands
Envarsus,EMEA/H/C/002655,tacrolimus,tacrolimus,Graft Rejection,L04AD02,,Chiesi Farmaceutici S.p.A.,5,17/07/2014,"Via Palermo 26/A
43122 Parma
Italy",,,,,,,,,Italy
Vitekta,EMEA/H/C/002577,elvitegravir,elvitegravir,HIV Infections,J05AX11,,Gilead Sciences International Ltd,4,12/11/2013,"Flowers Building
Granta Park
Abington
Cambridge
CB21 6GT
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,United Kingdom
Cialis,EMEA/H/C/000436,tadalafil,tadalafil,Erectile Dysfunction,G04BE08,,Eli Lilly Nederland B.V.,26,11/11/2002,"Eli Lilly Nederland BV
Papendorpseweg 83
3528 BJ Utrecht
The Netherlands",,,,,,,,,The Netherlands
Adcirca (previously Tadalafil Lilly),EMEA/H/C/001021,tadalafil,tadalafil,"Hypertension, Pulmonary",G04BE08,,Eli Lilly Nederland B.V.,11,30/09/2008,"Papendorpseweg 83
3528 BJ Utrecht
Netherlands",,,,,,,,,The Netherlands
Pioglitazone Accord,EMEA/H/C/002277,pioglitazone hydrochloride,pioglitazone,"Diabetes Mellitus, Type 2",A10BG03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Accord Healthcare Ltd,4,21/03/2012,"5th Floor Charles House
108/110 Finchley Road
London NW3 5JJ
United Kingdom",,,,,,,,,United Kingdom
Cholestagel,EMEA/H/C/000512,colesevelam,colesevelam,Hypercholesterolemia,C10AC04,,Genzyme Europe B.V.,18,09/03/2004,"Gooimer 10
NL-1411 DD Naarden
The Netherlands",,,,,,,,,The Netherlands
Defitelio,EMEA/H/C/002393,defibrotide,defibrotide,Hepatic Veno-Occlusive Disease,B01AX01,,Gentium S.r.l.,6,17/10/2013,"Piazza XX Settembre 2
22079 Villa Guardia (Como)
Italy","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.","This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,"This medicine was authorised under exceptional circumstances, because the applicant was unable to provide comprehensive data on the efficacy and safety of the medicine under normal conditions of use. This can happen because the condition to be treated is rare or because collection of full information is not possible or is unethical. For more information, see Pre-authorisation guidance.",,Italy
Xenical,EMEA/H/C/000154,orlistat,orlistat,Obesity,A08AB01,,CHEPLAPHARM Arzneimittel GmbH,22,28/07/1998,"Ziegelhof 24
17489 Greifswald
Germany",,,,,,,,,Germany
Vepacel,EMEA/H/C/002089,"Influenza virus (whole virion, inactivated), containing antigen of: A/Vietnam/1203/2004 (H5N1)","Prepandemic influenza vaccine (H5N1) (whole virion, inactivated,prepared in cell culture)","Influenza, Human
Immunization
Disease Outbreaks",J07BB01,,Nanotherapeutics UK LTD,8,16/02/2012,"10 Chiswell Street
London EC1Y 4UQ
United Kingdom","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,United Kingdom
Imprida,EMEA/H/C/000775,"amlodipine (as besylate)
valsartan",amlodipine / valsartan,Hypertension,C09DB01,,Novartis Europharm Ltd,20,16/01/2007,"Frimley Business Park
Camberley GU16 7SR
United Kingdom",,,,,,,,,United Kingdom
Vaniqa,EMEA/H/C/000325,Eflornithine,eflornithine,Hirsutism,D11AX,,"Almirall, S.A.",21,19/03/2001,"Ronda General Mitre, 151
ES-08022 Barcelona
Spain",,,,,,,,,Spain
Integrilin,EMEA/H/C/000230,eptifibatide,eptifibatide,"Angina, Unstable
Myocardial Infarction",B01AC16,,Glaxo Group Ltd,21,30/06/1999,"980 Great West Road
Brentford
Middlesex TW8 9GS
United Kingdom",,,,,,,,,United Kingdom
Clopidogrel/Acetylsalicylic acid Teva,EMEA/H/C/002272,"clopidogrel
acetylsalicylic acid",clopidogrel / acetylsalicylic acid,"Acute Coronary Syndrome
Myocardial Infarction",B01AC30,,Teva Pharma B.V.,1,31/08/2014,"Swensweg 5
2031GA Haarlem
The Netherlands",,,,,,,,,The Netherlands
Pandemic Influenza Vaccine H5N1 Baxter AG,EMEA/H/C/001200,"influenza vaccine (whole virion, inactivated) containing antigen of: A/Vietnam/1203/2004 (H5N1)","pandemic influenza vaccine (H5N1) (whole virion, inactivated, prepared in cell culture)","Influenza, Human
Immunization
Disease Outbreaks",J07BB01,,"Nanotherapeutics Bohumil, s.r.o.",5,15/10/2009,"Nanotherapeutics UK Limited
10 Chiswell Street
London
EC1Y 4UQ
United Kingdom",,,,,,,"This medicine was authorised under exceptional circumstances, because the applicant was unable to provide comprehensive data on the efficacy and safety of the medicine under normal conditions of use. This can happen because the condition to be treated is rare or because collection of full information is not possible or is unethical. For more information, see Pre-authorisation guidance.",,United Kingdom
Unituxin,EMEA/H/C/002800,Dinutuximab,dinutuximab,Neuroblastoma,L01XC,,United Therapeutics Europe Ltd,3,13/08/2015,"Uniter House
Curfew Bell Road
Chertsey
Surrey KT16 9FG
United Kingdom",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,United Kingdom
Xydalba,EMEA/H/C/002840,dalbavancin hcl,dalbavancin,"Soft Tissue Infections
Skin Diseases, Bacterial",J01XA04,,Allergan Pharmaceuticals International Ltd,6,18/02/2015,"Clonshaugh Business Technology Park
Coolock
Dublin 17
Ireland","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Ireland
Dutrebis,EMEA/H/C/003823,"lamivudine
raltegravir potassium",lamivudine / raltegravir potassium,HIV Infections,J05AR16,,Merck Sharp Dohme Limited,0,25/03/2015,"Hertford Road
EN11 9BU Hoddesdon
United Kingdom",,,,,,,,,United Kingdom
Olazax Disperzi,EMEA/H/C/001088,olanzapine,olanzapine,"Schizophrenia
Bipolar Disorder",N05AH03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Glenmark Pharmaceuticals s.r.o. ,8,09/12/2009,"Glenmark Pharmaceuticals s.r.o.
Hvezdova 1716/2b
CZ-140 78 Praha 4
Czech Republic",,,,,,,,,Czech Republic
Olanzapine Glenmark,EMEA/H/C/001085,olanzapine,olanzapine,"Schizophrenia
Bipolar Disorder",N05AH03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Glenmark Pharmaceuticals Europe Limited,11,03/12/2009,"Laxmi House
2 B Draycott Avenue
Kenton
Middlesex
HA3 0BU
United Kingdom",,,,,,,,,United Kingdom
Olazax,EMEA/H/C/001087,olanzapine,olanzapine,"Schizophrenia
Bipolar Disorder",N05AH03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Glenmark Pharmaceuticals s.r.o. ,9,10/12/2009,"Glenmark Pharmaceuticals s.r.o.
Hvezdova 1716/2b
CZ-140 78 Praha 4
Czech Republic",,,,,,,,,Czech Republic
Vihuma,EMEA/H/C/004459,simoctocog alfa,simoctocog alfa,Hemophilia A,B02BD02,,Octapharma AB,0,13/02/2017,"Lars Forssells gata
23 112 75 Stockholm
Sweden","This medicine is under additional monitoring, meaning that it is monitored even more intensively than other medicines. For more information, see Medicines under additional monitoring.",,,,,,,,Sweden
Efient,EMEA/H/C/000984,prasugrel,prasugrel,"Acute Coronary Syndrome
Angina, Unstable
Myocardial Infarction",B01AC22,,Daiichi Sankyo Europe GmbH,14,24/02/2009,"Zielstattstrasse 48
81379 Munich
Germany",,,,,,,,,Germany
Pylobactell,EMEA/H/C/000151,13C-urea,13C-urea,"Breath Tests
Helicobacter Infections",V04CX,,Torbet Laboratories Limited,9,07/05/1998,"14D Wendover Road
Rackheath Industrial Estate
Norwich
Norfolk
NR13 6LH
United Kingdom",,,,,,,,,United Kingdom
Pedea,EMEA/H/C/000549,Ibuprofen,ibuprofen,"Ductus Arteriosus, Patent",C01EB16,,Orphan Europe S.A.R.L.,12,28/07/2004,"Orphan Europe SARL
Immeuble “Le Wilson”
70, avenue du Général de Gaulle
F-92800 Puteaux
France",,"This medicine was designated an orphan medicine. This means that it was developed for use against a rare, life-threatening or chronically debilitating condition or, for economic reasons, it would be unlikely to have been developed without incentives. For more information, see Orphan designation. ",,,,,,,France
Rebetol,EMEA/H/C/000246,Ribavirin,ribavirin,"Hepatitis C, Chronic",J05AB04,,Merck Sharp Dohme Limited,31,06/05/1999,"Hertford Road
Hoddesdon EN11 9BU
United Kingdom",,,,,,,,,United Kingdom
Rasilamlo,EMEA/H/C/002073,"aliskiren
amlodipine",aliskiren / amlodipine,Hypertension,C09XA53,,Novartis Europharm Ltd,7,13/04/2011,"Wimblehurst Road
Horsham
West Sussex
RH12 5AB
United Kingdom",,,,,,,,,United Kingdom
Zyprexa,EMEA/H/C/000115,olanzapine,olanzapine,"Schizophrenia
Bipolar Disorder",N05AH03,,Eli Lilly Nederland B.V.,38,27/09/1996,"Eli Lilly Nederland BV
Papendorpseweg 83
3528 BJ Utrecht
Netherlands",,,,,,,,,The Netherlands
Zyprexa Velotab,EMEA/H/C/000287,olanzapine,olanzapine,"Schizophrenia
Bipolar Disorder",N05AH03,,Eli Lilly Nederland B.V.,27,02/02/2000,"Papendorpseweg 83
3528 BJ Utrecht
The Netherlands",,,,,,,,,The Netherlands
Velcade,EMEA/H/C/000539,bortezomib,bortezomib,Multiple Myeloma,L01XX32,,Janssen-Cilag International NV,39,26/04/2004,"Turnhoutseweg, 30
B-2340 Beerse
Belgium",,,,,,,,,Belgium
Zypadhera,EMEA/H/C/000890,olanzapine pamoate,olanzapine,Schizophrenia,N05AH03,,Eli Lilly Nederland B.V.,17,18/11/2008,"Eli Lilly Nederland BV
Papendorpseweg 83
3528 BJ Utrecht
The Netherlands",,,,,,,,,The Netherlands
Cancidas (previously Caspofungin MSD),EMEA/H/C/000379,caspofungin,caspofungin,"Candidiasis
Aspergillosis",J02AX04,,Merck Sharp Dohme Ltd,22,23/10/2001,"Hertford Road
Hoddesdon
Hertfordshire
EN11 9BU
United Kingdom",,,,,,,,,United Kingdom
Ketek,EMEA/H/C/000354,telithromycin,telithromycin,"Sinusitis
Tonsillitis
Bronchitis, Chronic
Pharyngitis
Community-Acquired Infections
Pneumonia, Bacterial",J01FA15,,Aventis Pharma S.A.,25,08/07/2001,"20 avenue Raymond Aron
92165 Antony Cedex
France",,,,,,,,,France
Olanzapine Apotex,EMEA/H/C/001178,olanzapine,olanzapine,"Schizophrenia
Bipolar Disorder",N05AH03,"This is a generic medicine, which is developed to be the same as a medicine that has already been authorised, called the reference medicine. A generic medicine contains the same active substance(s) as the reference medicine, and is used at the same dose(s) to treat the same disease(s). For more information, see Generic and hybrid medicines.",Apotex Europe B.V. ,7,09/06/2010,"Apotex Europe B.V.
Darwinweg 20
NL-2333 CR Leiden
The Netherlands",,,,,,,,,The Netherlands
Duloxetine Lilly,EMEA/H/C/004000,duloxetine,duloxetine,"Neuralgia
Diabetic Neuropathies",N06AX21,,Eli Lilly Nederland B.V.,3,07/12/2014,"Papendorpseweg 83
3528 BJ Utrecht
Netherlands",,,,,,,,,The Netherlands
Cymbalta,EMEA/H/C/000572,duloxetine,duloxetine,"Anxiety Disorders
Diabetic Neuropathies
Depressive Disorder, Major",N06AX21,,Eli Lilly Nederland B.V.,25,16/12/2004,"Papendorpseweg 83
3528 BJ Utrecht
Netherlands",,,,,,,,,The Netherlands
